path	node	rank
Eukaryota;Amoebozoa;Protosporangiida;Protosporangiidae	Protosporangiidae	class
Eukaryota;Amoebozoa;Protosporangiida;Protosporangiidae;Protosporangium	Protosporangium	genus
Eukaryota;Amoebozoa;Protosteliida	Protosteliida	phylum
Eukaryota;Amoebozoa;Protosteliida;Planoprotostelium	Planoprotostelium	genus
Eukaryota;Amoebozoa;Protosteliida;Protostelium	Protostelium	genus
Eukaryota;Amoebozoa;Schizoplasmodiida	Schizoplasmodiida	phylum
Eukaryota;Amoebozoa;Schizoplasmodiida;Ceratiomyxella	Ceratiomyxella	genus
Eukaryota;Amoebozoa;Schizoplasmodiida;Nematostelium	Nematostelium	genus
Eukaryota;Amoebozoa;Schizoplasmodiida;Phalansterium	Phalansterium	genus
Eukaryota;Amoebozoa;Schizoplasmodiida;Schizoplasmodium	Schizoplasmodium	genus
Eukaryota;Amoebozoa;Tubulinea	Tubulinea	phylum
Eukaryota;Amoebozoa;Tubulinea;Arcellinida	Arcellinida	class
Eukaryota;Amoebozoa;Tubulinea;Arcellinida;Arcellina	Arcellina	order
Eukaryota;Amoebozoa;Tubulinea;Arcellinida;Arcellina;Arcella	Arcella	genus
Eukaryota;Amoebozoa;Tubulinea;Arcellinida;Difflugina	Difflugina	order
Eukaryota;Amoebozoa;Tubulinea;Arcellinida;Difflugina;Physochila	Physochila	genus
Eukaryota;Amoebozoa;Tubulinea;Arcellinida;Echinamoebida	Echinamoebida	order
Eukaryota;Amoebozoa;Tubulinea;Arcellinida;Echinamoebida;Echinamoeba	Echinamoeba	genus
Eukaryota;Amoebozoa;Tubulinea;Arcellinida;Echinamoebida;Vermamoeba	Vermamoeba	genus
Eukaryota;Amoebozoa;Tubulinea;Arcellinida;Phryganellina	Phryganellina	order
Eukaryota;Amoebozoa;Tubulinea;Arcellinida;Phryganellina;Cryptodifflugia	Cryptodifflugia	genus
Eukaryota;Amoebozoa;Tubulinea;Euamoebida	Euamoebida	class
Eukaryota;Amoebozoa;Tubulinea;Euamoebida;Amoeba	Amoeba	genus
Eukaryota;Amoebozoa;Tubulinea;Euamoebida;BOLA868	BOLA868	genus
Eukaryota;Amoebozoa;Tubulinea;Euamoebida;Chaos	Chaos	genus
