path	node	rank
Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae;	Thermoproteaceae	family
Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae;Caldivirga;	Caldivirga	genus
Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae;Pyrobaculum;	Pyrobaculum	genus
Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae;Thermocladium;	Thermocladium	genus
Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae;Thermoproteus;	Thermoproteus	genus
Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae;uncultured;	uncultured	genus
Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae;Vulcanisaeta;	Vulcanisaeta	genus
Archaea;Diapherotrites;	Diapherotrites	phylum
Archaea;Diapherotrites;Diapherotrites Incertae Sedis;	Diapherotrites Incertae Sedis	class
Archaea;Diapherotrites;Diapherotrites Incertae Sedis;Unknown Order;	Unknown Order	order
Archaea;Diapherotrites;Diapherotrites Incertae Sedis;Unknown Order;Unknown Family;	Unknown Family	family
Archaea;Diapherotrites;Diapherotrites Incertae Sedis;Unknown Order;Unknown Family;Candidatus Iainarchaeum;	Candidatus Iainarchaeum	genus
Archaea;Euryarchaeota;	Euryarchaeota	phylum
Archaea;Euryarchaeota;Archaeoglobi;	Archaeoglobi	class
Archaea;Euryarchaeota;Archaeoglobi;Archaeoglobales;	Archaeoglobales	order
Archaea;Euryarchaeota;Archaeoglobi;Archaeoglobales;Archaeoglobaceae;	Archaeoglobaceae	family
Archaea;Euryarchaeota;Archaeoglobi;Archaeoglobales;Archaeoglobaceae;Archaeoglobus;	Archaeoglobus	genus
Archaea;Euryarchaeota;Archaeoglobi;Archaeoglobales;Archaeoglobaceae;Ferroglobus;	Ferroglobus	genus
Archaea;Euryarchaeota;Archaeoglobi;Archaeoglobales;Archaeoglobaceae;Geoglobus;	Geoglobus	genus
Archaea;Euryarchaeota;Archaeoglobi;Archaeoglobales;Archaeoglobaceae;uncultured;	uncultured	genus
Archaea;Euryarchaeota;Halobacteria;	Halobacteria	class
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;	Halobacteriales	order
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;	Halobacteriaceae	family
